"ID","ticker_1","fullname_1","name_1","organization_type_1","publicated_1","ticker_2","fullname_2","name_2","country_code_2","organization_type_2","publicated_2","contract_content","contract_note","contract_category","contract_RD","cooperate_direction","starting_year","end_year","terminated_condition","terminated_condition_content","filed_year","privacy_policy","restrictions","sector","update_time"
"1","1583","程泰機械","程泰","公司","1",\N,"日本 KIRIU 公司","KIRIU","日本","公司","0","KVL25-S2 和",\N,"委託製造","1","0","2005",\N,"1","終止合約提出後","2019","0","1.未經同意不可轉讓
給第三者製作。
2.在 OEM 之情況下,
不能有類似的產品販
賣給第三者。","智慧科技","2021-06-28 22:31:50"
"2","1583","程泰機械","程泰","公司","1",\N,"日本 KIRIU 公司","KIRIU","日本","公司","0","KVL25-S2 和",\N,"委託製造","1","0","2005",\N,"1","終止合約提出後","2018","0","1.未經同意不可轉讓
給第三者製作。
2.在 OEM 之情況下,
不能有類似的產品販
賣給第三者。","智慧科技","2021-06-28 22:31:50"
"3","1583","程泰機械","程泰","公司","1",\N,"日本 KIRIU 公司","KIRIU","日本","公司","0","KVL25-S2 和",\N,"委託製造","1","0","2005",\N,"1","終止合約提出後","2017","0","1.未經同意不可轉讓
給第三者製作。
2.在 OEM 之情況下,
不能有類似的產品販
賣給第三者。","智慧科技","2021-06-28 22:31:50"
"4","1583","程泰機械","程泰","公司","1",\N,"日本 KIRIU 公司","KIRIU","日本","公司","0","KVL25-S2 和",\N,"委託製造","1","0","2005",\N,"1","終止合約提出後","2016","0","1.未經同意不可轉讓
給第三者製作。
2.在 OEM 之情況下,
不能有類似的產品販
賣給第三者。","智慧科技","2021-06-28 22:31:50"
"5","1583","程泰機械","程泰","公司","1",\N,"日本 KIRIU 公司","KIRIU","日本","公司","0","KVL25-S2 和",\N,"委託製造","1","0","2005",\N,"1","終止合約提出後","2015","0","1.未經同意不可轉讓
給第三者製作。
2.在 OEM 之情況下,
不能有類似的產品販
賣給第三者。","智慧科技","2021-06-28 22:31:50"
"6","1583","程泰機械","程泰","公司","1",\N,"日本 KIRIU 公司","KIRIU","日本","公司","0","KVL25-S2 和",\N,"委託製造","1","0","2005",\N,"1","終止合約提出後","2014","0","1.未經同意不可轉讓
給第三者製作。
2.在 OEM 之情況下,
不能有類似的產品販
賣給第三者。","智慧科技","2021-06-28 22:31:50"
"7","1583","程泰機械","程泰","公司","1",\N,"日本 KIRIU 公司","KIRIU","日本","公司","0","KVL25-S2 和",\N,"委託製造","1","0","2005",\N,"1","終止合約提出後","2013","0","1.未經同意不可轉讓
給第三者製作。
2.在 OEM 之情況下,
不能有類似的產品販
賣給第三者。","智慧科技","2021-06-28 22:31:50"
"8","1583","程泰機械","程泰","公司","1",\N,"日本 KIRIU 公司","KIRIU","日本","公司","0","KVL25-S2 和",\N,"委託製造","1","0","2005",\N,"1","終止合約提出後","2012","0","1.未經同意不可轉讓
給第三者製作。
2.在 OEM 之情況下,
不能有類似的產品販
賣給第三者。","智慧科技","2021-06-28 22:31:50"
"9","1583","程泰機械","程泰","公司","1",\N,"日本 KIRIU 公司","KIRIU","日本","公司","0","KVL25-S2 和",\N,"委託製造","1","0","2005",\N,"1","終止合約提出後","2011","0","1.未經同意不可轉讓
給第三者製作。
2.在 OEM 之情況下,
不能有類似的產品販
賣給第三者。","智慧科技","2021-06-28 22:31:50"
"10","1583","程泰機械","程泰","公司","1",\N,"日本 KIRIU 公司","KIRIU","日本","公司","0","KVL25-S2 和",\N,"委託製造","1","0","2005",\N,"1","終止合約提出後","2010","0","1.未經同意不可轉讓
給第三者製作。
2.在 OEM 之情況下,
不能有類似的產品販
賣給第三者。","智慧科技","2021-06-28 22:31:50"
"11","1583","程泰機械","程泰","公司","1",\N,"日本 KIRIU 公司","KIRIU","日本","公司","0","KVL25-S2 和",\N,"委託製造","1","0","2005",\N,"1","終止合約提出後","2009","0","1.未經同意不可轉讓
給第三者製作。
2.在 OEM 之情況下,
不能有類似的產品販
賣給第三者。","智慧科技","2021-06-28 22:31:50"
